,city,country_x,2000_ls,2005_ls,2010_ls,region,p2000,p2005,p2010,g2000,g2005,g2010
70,Quito,Ecuador,336,401,451,Americas,12.345023,13.426402,14.464739,66.43064229445932,87.41117300627778,104.16045056561055
71,Dakar,Senegal,204,240,300,Africa,9.505861999999999,10.871908,12.433727999999999,14.497854955923621,18.208361231473138,21.58159603963768
72,Conakry,Guinea,180,180,215,Africa,8.344486000000002,9.041448,9.98159,7.399539642593315,8.778188406287203,9.765701606915952
73,Tunis,Tunisia,415,583,619,Africa,9.456117,9.912113999999999,10.480934,58.1207406212837,72.03194485140763,90.36665459033907
74,Brussels,Belgium,1099,1201,1206,Europe,10.175683999999999,10.414209000000001,10.712066,311.62222848641545,337.2131232999723,357.4760039013982
75,Porto Novo,Benin,373,472,596,Africa,6.517810000000001,7.633756999999999,8.849892,8.515287806131017,10.298986960318315,12.601266759843224
76,Athens,Greece,538,624,634,Europe,10.986883,11.183114,11.359346,221.80758420203622,270.36380631620835,273.91606436762675
77,La Paz,Bolivia,120,179,179,Americas,8.307248,9.146655,9.929849,29.631901156020263,34.501536008061414,43.19038245496415
78,Port au Prince,Haiti,450,528,695,Americas,8.645370999999999,9.347262,9.993247,9.830036010290577,9.564420027366756,9.956484182443043
79,Santo Domingo,Dominican Republic,380,398,570,Americas,8.591967,9.264267,9.92732,49.70514427691694,59.109442656999,83.25965238571035
80,Prague,Czech Republic,432,469,472,Europe,10.24289,10.220638000000001,10.492959999999998,173.47158214570143,208.4250319573868,237.48438989075598
81,Lisbon,Portugal,569,461,765,Europe,10.336209,10.543663,10.675572,215.7890492156284,224.64067555036334,230.60379712874197
82,Stockholm,Sweden,543,443,447,Europe,8.860153,9.029345,9.379687,258.5820036881537,295.29393766213633,316.7771014367621
83,Baku,Azerbaijan,390,357,372,Asia,8.110723,8.587902,9.187783,20.04064261531394,37.73096549151678,80.69556138880493
84,Budapest,Hungary,641,711,715,Europe,10.210545,10.086936,9.983645000000001,139.62047710819522,171.22348817260536,169.58333981672405
85,Amman,Jordan,454,605,683,Asia,4.827095999999999,5.342002000000001,6.187227,17.225509547278595,23.456024693216758,31.185202046176876
86,Minsk,Belarus,282,323,325,Europe,10.05781,9.825102000000001,9.595421,58.12948597424623,83.49152746365574,118.57185022783123
87,Abu Dhabi,United Arab Emirates,151,143,179,Asia,3.033491,4.069349,7.51169,209.54767082562716,272.05519556289624,318.1423059818006
88,Belgrade,Serbia,411,325,313,Europe,10.133561,9.856152,9.856221999999999,48.91276572762733,63.43362612174072,70.04375295597576
89,Vienna,Austria,550,493,509,Europe,8.004712,8.232196,8.393644,254.57338344202216,276.67216074303315,296.8320908711133
