,city,g2000,p2000,country_x,2000_ls,region,Regional_label,g2010,g2015,g2020,g2025,g2030,g2035,g2040,g2045,g2050,p2010,p2015,p2020,p2025,p2030,p2035,p2040,p2045,p2050
246,Kampala,18.729947336939453,24.21312,Uganda,305,Africa,0,38.411,51.477,73.156,104.798,148.771,208.062,290.163,402.799,555.22,33.424683,39.11926754641596,45.46132046317524,52.40351632555752,59.961030677930054,68.01359185441977,76.34458019170881,84.80378550826359,93.25335106758598
247,Kampala,18.729947336939453,24.21312,Uganda,305,Africa,0,38.411,52.162,74.534,103.283,138.329,179.613,231.654,297.424,379.797,33.424683,39.63979669402254,47.005929709240384,55.447773039884886,65.1434215853466,75.76922846126477,87.39650992518615,99.93757267268971,113.30178919563716
248,Kampala,18.729947336939453,24.21312,Uganda,305,Africa,0,38.411,52.14,74.219,101.142,132.845,167.359,209.001,259.662,320.9,33.424683,39.62299871523701,46.955976108144185,55.33101433165701,64.9315050312298,75.41899970891731,86.87436328484182,99.21325101639641,112.33666672305156
249,Kampala,18.729947336939453,24.21312,Uganda,305,Africa,0,38.411,50.588,71.258,108.191,173.289,281.427,445.117,681.654,1009.9,33.424683,38.443402958596145,43.63947729025565,48.995230837752935,54.41189445006031,59.97245542359969,65.36694727847043,70.3714226886123,74.89339022813375
250,Algiers,185.68866698842075,30.533827000000002,Algeria,898,Africa,0,268.295,310.773,376.244,462.689,559.447,657.912,757.912,873.644,1006.329,35.468208,37.85068983460001,39.95307529603874,41.64453543833772,42.9119786281795,43.93942990300977,44.76144054712578,45.32763791838127,45.54839273696858
251,Algiers,185.68866698842075,30.533827000000002,Algeria,898,Africa,0,268.295,312.438,380.324,463.917,545.477,612.169,671.988,743.584,833.754,35.468208,38.05341522814924,40.52761892780597,42.71287483594977,44.51855336103376,46.06298561005007,47.43680991330521,48.63952352824984,49.52488385078971
252,Algiers,185.68866698842075,30.533827000000002,Algeria,898,Africa,0,268.295,314.331,385.55,468.551,542.086,588.097,611.045,632.788,666.814,35.468208,38.28398582806889,41.260005210526586,44.15671596284582,46.828428612351146,49.238123531916905,51.56969989944873,53.881228704282776,56.114212363208274
253,Algiers,185.68866698842075,30.533827000000002,Algeria,898,Africa,0,268.295,311.22,376.567,457.349,537.446,601.638,649.352,700.43,767.036,35.468208,37.90512192368864,40.14315831746375,41.97892349908569,43.35672719501356,44.44702626229651,45.2864799095354,45.84290646262476,46.01848742944421
254,Algiers,185.68866698842075,30.533827000000002,Algeria,898,Africa,0,268.295,310.547,375.745,469.749,587.826,721.954,865.592,1033.2,1226.77,35.468208,37.82309342950631,39.86468624688362,41.463690287027184,42.6373496651862,43.569671053141846,44.29420752738144,44.762402377569,44.888793615548096
255,Khartoum,47.756919252972814,34.187729,Sudan,611,Africa,0,88.125,97.496,140.428,192.052,270.197,385.06,542.598,750.812,1016.528,43.551941000711366,48.35417427353449,52.968384801190545,57.205519000818995,60.98607357386974,64.37441309079779,67.24094571076019,69.5144212842307,71.14646005247091
256,Khartoum,47.756919252972814,34.187729,Sudan,611,Africa,0,88.125,98.954,143.68,190.677,251.296,328.398,429.305,559.388,723.949,43.551941000711366,48.85987467148284,54.18525382124855,59.39084015943812,64.51155106987717,69.41356459788466,73.96911936367091,78.05032538522542,81.62512733357717
257,Khartoum,47.756919252972814,34.187729,Sudan,611,Africa,0,88.125,100.316,146.679,190.2,239.335,293.722,358.799,435.379,523.304,43.551941000711366,49.054637423376064,55.035010153188786,61.36397817794333,67.89530555139517,74.28060090302841,80.51245478840195,86.62186178151447,92.64922045197629
258,Khartoum,47.756919252972814,34.187729,Sudan,611,Africa,0,88.125,100.473,147.116,188.58,231.459,272.486,316.712,364.275,414.476,43.551941000711366,49.08595752013501,55.13157421486933,61.55518416198122,68.17929341330253,74.64745127004531,80.95600209419321,87.14164564095735,93.24832490088053
259,Khartoum,47.756919252972814,34.187729,Sudan,611,Africa,0,88.125,97.59,141.372,198.338,293.127,442.913,655.886,945.613,1324.997,43.551941000711366,48.37882428497276,53.04290404719711,57.34806855605561,61.1891464189733,64.6303561470101,67.54530107597435,69.86377882464811,71.53548999819597
260,Warsaw,451.9605972744355,38.302444,Poland,637,Europe,3,660.478,768.404,904.195,1041.87,1183.144,1326.292,1452.728,1551.89,1626.932,38.27666,38.4480203755216,38.54644498372955,38.52115404647928,38.31361801244265,37.92753428074353,37.46788908822821,36.99081309275695,36.49573263457949
261,Warsaw,451.9605972744355,38.302444,Poland,637,Europe,3,660.478,767.34,897.648,1017.735,1129.031,1236.731,1335.099,1417.386,1486.294,38.27666,38.394801469645046,38.40953204757202,38.25866054540821,37.88869386840985,37.291509657695,36.58571847165382,35.866934862436125,35.16288410821898
262,Warsaw,451.9605972744355,38.302444,Poland,637,Europe,3,660.478,764.17,883.903,982.027,1059.054,1119.918,1162.427,1182.021,1183.215,38.27666,38.23619639931589,37.94702648963213,37.356093379147545,36.43373436700402,35.25255512880618,33.91482872499599,32.51142353946209,31.079293960340262
263,Warsaw,451.9605972744355,38.302444,Poland,637,Europe,3,660.478,765.979,896.548,1028.826,1162.144,1293.071,1404.688,1489.62,1551.965,38.27666,38.32669420505328,38.22885500183236,37.91132637595157,37.32464870538556,36.517852752633004,35.574125282209486,34.56615024606725,33.51889238952499
264,Warsaw,451.9605972744355,38.302444,Poland,637,Europe,3,660.478,770.619,915.879,1081.944,1268.261,1467.301,1656.97,1830.768,1994.008,38.27666,38.55884299300153,38.87215709265891,39.15010739506102,39.30222047680466,39.27164396197477,39.201749900159605,39.191044506412425,39.25409704063131
265,Rabat,84.84132143097669,28.793236,Morocco,253,Africa,0,137.293,170.461,224.444,301.042,403.647,534.432,685.827,847.529,1009.167,31.95141199999999,33.18100933792697,34.09355679840639,34.686724216771324,34.947204983717796,34.99068715216858,34.834009705323275,34.47361081400324,33.899488602685615
