,SSP1,SSP2,SSP3,SSP4,SSP5
66,1092.309845396719,1141.6032515151994,1191.6813849073171,1101.7685454787756,1097.8162180738675
67,381.4323845419067,403.4744105455504,439.3989396007568,435.5119613710181,380.3999576011435
68,2314.525882918777,2259.89857255047,2011.925108352705,2148.1434386140336,2540.891672267443
69,927.7394982188451,970.8290244261186,1037.8153422842704,1026.2979834604928,913.0149518683932
70,598.8227447907249,610.7294878041419,635.6873834629105,602.4643477112248,597.4918693466963
71,416.94151416529826,464.268906598777,531.5291178564587,520.7373246181204,405.71316969782754
72,701.6556437525893,626.2439269314909,598.7544531728597,551.2396608802809,718.701516751215
73,756.3201513461651,768.4312444371539,782.5020801264066,748.0289530025291,761.6232075460484
74,1065.0,1065.0,1065.0,1065.0,1065.0
75,1610.3650182829767,1752.5375240044907,1833.3195592731697,1865.9791305689491,1630.435015886241
76,675.0319403767728,644.0,644.0,644.0,842.9527794890664
77,212.05950299840302,226.2397178162139,252.45912577868395,244.94603253650408,205.12074722224924
78,977.024152880503,983.6185615181979,1059.8865137411838,1002.2487787169908,939.4277460210579
79,766.4375134638716,783.882894151192,822.8693261897624,758.1866108742423,759.1318084594349
80,545.9811904263188,541.922486771353,529.1589611394653,539.9849548450808,559.1151569067138
81,903.4364487576535,892.765842900323,872.5777882018172,897.7002819114595,924.5090554394028
82,496.0,496.0,496.0,496.0,496.0
83,550.4678868289598,591.6853988751138,614.338040048472,544.5360406188184,565.6869060436618
84,813.99271747476,809.2293784961414,798.3972900680029,810.7567919288074,824.3932223526222
85,988.4743947397707,990.5350173054029,974.583681790922,1001.0846097423448,1020.3161076407667
86,347.7194827225889,347.4909860494957,347.29488907039485,347.4222112079778,347.952308141563
87,187.6808547875928,188.4363688762754,185.92229913301523,187.87969162044234,190.48319732359573
88,328.0,328.0,328.0,328.0,328.0
89,517.0,517.0,517.0,517.0,517.0
90,389.0,389.0,389.0,389.0,389.0
91,1521.29058712898,1515.477857580906,1427.3541941671274,1486.4850624340183,1608.7275466044168
92,2893.046111715234,2437.178180644779,2200.2534181466917,2132.6585025906124,3198.3646520140637
93,370.9608286249299,369.8392551089609,368.7680879757169,369.61073862529867,372.1510138068699
94,931.0181396809066,1038.6343635283604,1188.7202043956129,1164.4442737549095,907.578149123709
95,855.0142782862854,841.0464386635501,848.7374963812954,820.1852075733767,848.5355897815034
96,364.53723798573407,358.0074489604558,356.10432490497624,346.59477634485665,366.1636962098477
97,639.8356390851899,671.6279184663518,708.5416991072071,640.5335877906981,635.7681591084587
98,761.9462901431749,753.703284991079,721.6242011194611,743.1850350403892,790.5051024619246
99,1098.4697798371828,1098.3444022650358,1080.331323894823,1091.2375388702533,1115.2543248200184
100,466.4497096977962,453.4577427044079,401.39956791489965,427.71267468869473,513.4829173126525
101,432.5925648587391,426.73269636388284,378.42168790982623,410.5831925536507,477.437179648097
102,1978.5409344980753,2054.0314862706796,2092.5558504764917,2015.8804630409995,2024.5053492399434
103,646.7388042235789,644.343920007503,628.9623333277722,641.7090385317293,662.4257583372075
104,285.0,285.0,285.0,285.0,285.0
105,258.6858000964423,256.9481958913319,256.491915560466,256.9959598257814,259.68230143395635
106,398.89642230994906,398.0556900427255,397.64713477907696,397.781888889072,399.4460265491066
107,234.79882314088619,237.60964815814543,243.22454770996617,232.75644999870045,236.2330030691951
108,308.1400026481283,308.1170372230147,314.37352395338195,308.11515400891216,308.1526140348028
109,4562.255194567956,4484.886850297295,4498.449193872302,4455.3960973233725,4581.515342700429
110,154.0,154.0,154.0,154.0,154.0
111,221.0,221.0,221.0,221.0,221.0
112,137.0,137.0,137.0,137.0,137.0
113,2051.203451125507,2149.8295310952194,2682.8789334427556,2080.0331229805984,2029.2856796557649
