,city,country_x,2000_ls,2005_ls,2010_ls,2015_ls,region,p2000,p2005,p2010,p2015,g2000,g2005,g2010,g2015
35,Ankara,Turkey,435,609,622,712,Asia,63.627862,68.143186,72.75232499999997,76.97897605639764,625.3107973563094,781.2434043296591,912.432,1144.5256000000002
36,Rhine-Ruhr,Germany,2149,2320,2277,2164,Europe,82.349027,82.540739,82.30246316178722,82.11877424593658,2490.8136308451076,2565.9973532967006,2727.329,2984.7007999999996
37,Berlin,Germany,963,1031,998,949,Europe,82.349027,82.540739,82.30246316178722,82.11877424593658,2490.8136308451076,2565.9973532967006,2727.329,2984.7007999999996
38,Johannesburg,South Africa,1732,2332,2453,2800,Africa,44.76038,47.792787,50.13281699999999,52.381343144178935,336.2038643500052,405.7572553822631,474.761,570.1007999999999
39,Pretoria,South Africa,1463,2272,2421,2721,Africa,44.76038,47.792787,50.13281699999999,52.381343144178935,336.2038643500052,405.7572553822631,474.761,570.1007999999999
40,Hanoi,Vietnam,2954,3087,3238,3409,Asia,78.75801,83.161145,87.84844499437746,92.21883376145101,123.99280877419196,178.07479783871375,249.923,333.793
41,Bangkok,Thailand,1673,1858,2192,2738,Asia,63.155029,66.698483,69.12223400000002,71.05917582044688,347.1536103626988,445.19504703591343,530.367,650.6692
42,London,United Kingdom,3511,3333,3480,3568,Europe,58.874117,60.202726999999996,62.03557000000003,64.16007053164842,1742.5079045271157,1971.2527554921246,2014.292,2185.8602
43,Paris,France,2304,2521,2458,2559,Europe,59.047795,60.996506000000004,62.78741655173213,64.68618117784179,1718.2933631391527,1860.6996873989644,1921.794,2045.8072
44,Rome,Italy,762,814,980,1047,Europe,56.986329,58.671206,60.550847999999974,61.47553302633778,1578.2477807125379,1649.4376304839336,1641.252,1687.4881999999998
45,Bogota,Colombia,612,767,706,744,Americas,39.764165999999996,43.040558,46.29484099999996,49.26507848471135,263.19376664841934,314.39215516136187,392.55,493.0406
46,Madrid,Spain,745,638,1427,1576,Europe,40.288457,43.395441,46.07698899999996,47.79685285789786,1011.7670706667714,1188.1023010529402,1242.302,1310.1950000000002
47,Buenos Aires,Argentina,2687,2791,2793,2830,Americas,36.930709,38.681174,40.41237600000001,41.985440394179065,379.7365322291021,419.04884740435705,580.427,718.017
48,Kiev,Ukraine,543,618,598,584,Europe,48.891792,46.923927000000006,45.44832899999997,44.09786031725632,181.77548527931282,263.0068556313268,276.283,331.15819999999997
49,Kampala,Uganda,305,664,878,1014,Africa,24.21312,28.431204,33.424683,39.05994145288873,18.729947336939453,25.903142657988777,38.411,51.399
50,Algiers,Algeria,898,860,950,1014,Africa,30.533827000000002,32.888449,35.468208,37.98326124880262,185.68866698842075,235.76296939985923,268.295,311.8618
51,Khartoum,Sudan,611,834,876,1216,Africa,34.187729,38.41032,43.551941000711366,48.746693634700236,47.756919252972814,61.955397193283105,88.125,98.96579999999999
52,Warsaw,Poland,637,690,699,724,Europe,38.302444,38.16504,38.27666,38.39291108850746,451.9605972744355,526.0786027801892,660.478,767.3024
53,Rabat,Morocco,253,414,404,457,Africa,28.793236,30.392473000000003,31.95141199999999,33.31734446482192,84.84132143097669,108.17120443340517,137.293,171.1612
54,Riyadh,Saudi Arabia,737,847,833,844,Asia,20.045276,24.041116000000002,27.448085999999993,31.083310711283907,407.34808294516665,490.57836714250635,563.632,732.0649999999999
55,Lima,Peru,821,784,757,926,Americas,25.861887,27.558769,29.076511999999994,30.30391049995945,143.35330734648463,176.0166245881356,248.847,330.58360000000005
56,Tashkent,Uzbekistan,923,1033,1093,1050,Asia,24.77561,25.947414000000002,27.44470200000001,28.77943958189374,40.23697082159706,52.35926437788477,78.648,108.8836
57,Kuala Lumpur,Malaysia,580,1390,1472,1544,Asia,23.414908999999998,26.100241,28.401016999999996,30.63651076272739,239.03533058704048,301.3084201958691,375.288,474.29499999999996
58,Maputo,Mozambique,116,126,303,315,Africa,18.200656,20.770013,23.390765000000002,25.888401153096822,9.211720050388193,13.906009355855705,19.244,27.627
59,Kathmandu,Nepal,407,734,790,825,Asia,24.400606,27.281945,29.959364000000008,32.806481719904056,22.025413208081368,26.021817153342244,32.337,39.5304
60,Accra,Ghana,564,812,889,1158,Africa,19.165490000000002,21.639806,24.391822999999977,27.199451895026222,20.445616306419794,26.141197001429596,36.062,55.699
61,Yaounde,Cameroon,195,218,303,353,Africa,15.678269,17.553589,19.598888999999993,21.636260861063725,29.05565034777774,34.85683900259589,40.336,50.568999999999996
62,Colombo,Sri Lanka,1185,1063,1416,1600,Asia,18.745084,19.842536,20.859948999999983,21.6476016510439,57.409002261438616,69.74039081850974,95.022,132.5134
63,Bucharest,Romania,435,469,544,450,Europe,22.191683,21.771749,21.486371,21.134480416755544,153.61117846980105,202.7205420609142,234.124,255.529
